tramo,x_min,x_max,longitud
1,133.0,139.65,7.456648758945732
2,139.65,146.3,7.381357965227538
3,146.3,152.95,7.309240952903166
4,152.95,159.6,7.240392547752581
5,159.6,166.25,7.174906832711389
6,166.25,172.9,7.112876673492388
7,172.9,179.55,7.054393213073637
8,179.55,186.2,6.999545340495849
9,186.2,192.85,6.948419136276063
10,192.85,199.5,6.901097302227999
11,199.5,206.15,6.857658582469047
12,206.15,212.8,6.818177182410943
13,212.8,219.45,6.7827221948974215
14,219.45,226.10000000000002,6.751357042521551
15,226.10000000000002,232.75,6.724138946152186
16,232.75,239.4,6.7011184284201954
17,239.4,246.05,6.682338862200841
18,246.05,252.7,6.667836073201075
19,252.7,259.35,6.657638004751791
20,259.35,266.0,6.651764451765648
