tramo,x_min,x_max,longitud
1,133.0,139.65,25.452189872735175
2,139.65,146.3,35.166430670960516
3,146.3,152.95,34.62422086068937
4,152.95,159.6,69.42085435762779
5,159.6,166.25,42.87646140311746
6,166.25,172.9,35.03132778804034
7,172.9,179.55,56.02711921436225
8,179.55,186.2,124.07734559578493
9,186.2,192.85,148.18137232882088
10,192.85,199.5,134.84403998779587
11,199.5,206.15,127.56560513451569
12,206.15,212.8,152.47792700684963
13,212.8,219.45,228.34870917829326
14,219.45,226.10000000000002,226.05105926803148
15,226.10000000000002,232.75,128.02552642198776
16,232.75,239.4,339.78860342942363
17,239.4,246.05,136.95617291202188
18,246.05,252.7,126.87164240242987
19,252.7,259.35,248.10275339711995
20,259.35,266.0,145.55440212182984
