tramo,x_min,x_max,longitud
1,133.0,139.65,6.659486310271108
2,139.65,146.3,6.667210004124467
3,146.3,152.95,6.689246048419875
4,152.95,159.6,6.680484198972547
5,159.6,166.25,6.656769501271607
6,166.25,172.9,6.659653731575408
7,172.9,179.55,6.728902577474981
8,179.55,186.2,6.881925780904699
9,186.2,192.85,7.1037754244686475
10,192.85,199.5,7.350013243691237
11,199.5,206.15,7.558602634905506
12,206.15,212.8,7.664506109317829
13,212.8,219.45,7.614591468354969
14,219.45,226.10000000000002,7.386927943040522
15,226.10000000000002,232.75,7.025875390577651
16,232.75,239.4,6.709897449248563
17,239.4,246.05,6.832821295675994
18,246.05,252.7,7.92373984256337
19,252.7,259.35,10.30637070568923
20,259.35,266.0,13.984765345162621
