tramo,x_min,x_max,longitud
1,133.0,139.65,9.738447498160504
2,139.65,146.3,8.293037827228954
3,146.3,152.95,7.31337074343307
4,152.95,159.6,6.7945888618548835
5,159.6,166.25,6.662003734998201
6,166.25,172.9,6.786668434478858
7,172.9,179.55,7.0332475026604335
8,179.55,186.2,7.294996549413078
9,186.2,192.85,7.501217551064467
10,192.85,199.5,7.611131995659524
11,199.5,206.15,7.606655530251046
12,206.15,212.8,7.488483004142534
13,212.8,219.45,7.276245718313739
14,219.45,226.10000000000002,7.012726935611481
15,226.10000000000002,232.75,6.771237092523345
16,232.75,239.4,6.661259305363068
17,239.4,246.05,6.819246940733038
18,246.05,252.7,7.371564673036147
19,252.7,259.35,8.387456926165886
20,259.35,266.0,9.867217895204414
