tramo,x_min,x_max,longitud
1,133.0,139.65,25.77441021133016
2,139.65,146.3,35.209224961501434
3,146.3,152.95,34.67184226187626
4,152.95,159.6,69.68813234015599
5,159.6,166.25,42.90150018503196
6,166.25,172.9,35.13566613340881
7,172.9,179.55,56.60152645264104
8,179.55,186.2,124.0630066317283
9,186.2,192.85,148.43983829943508
10,192.85,199.5,135.43960237440112
11,199.5,206.15,127.43396235456466
12,206.15,212.8,152.6220906540206
13,212.8,219.45,228.79874624298557
14,219.45,226.10000000000002,226.44238959846507
15,226.10000000000002,232.75,128.58491821989548
16,232.75,239.4,340.53121490371296
17,239.4,246.05,137.27647234670593
18,246.05,252.7,127.16051328817566
19,252.7,259.35,248.56554551120627
20,259.35,266.0,145.62645999931462
