nombre,tipo,parametro,longitud_tramos,longitud_global,diferencia,varianza_tramos
Polinomio grado 2,polinomio,2.0,138.87362849189702,138.87362849225562,3.5859670788340736e-10,0.06737809970722729
Polinomio grado 3,polinomio,3.0,150.29080472029668,150.29080472351433,3.217650146325468e-09,0.8450468455135843
Polinomio grado 4,polinomio,4.0,151.08556500571083,151.08556501540187,9.691035529613146e-09,2.9842828756382858
Polinomio grado 5,polinomio,5.0,150.88190900809724,150.88190899548857,1.2608666111191269e-08,2.844623955733123
Spline s=0.001,spline,0.001,2570.967062970557,2563.816022277409,7.151040693147934,7009.354688184224
Spline s=0.01,spline,0.01,2569.8757225882123,2562.7654673560974,7.110255232114923,7003.092521365051
Spline s=0.1,spline,0.1,2567.4599769035985,2560.4401070894814,7.019869814117101,6989.235740864556
Spline s=1.0,spline,1.0,2565.4437633524376,2558.4208624148678,7.02290093756983,6988.103002607733
