tramo,x_min,x_max,longitud
1,133.0,139.65,25.76057720671025
2,139.65,146.3,35.16293761104082
3,146.3,152.95,34.63776936646586
4,152.95,159.6,69.49694462533598
5,159.6,166.25,42.883618517168046
6,166.25,172.9,35.0734496117778
7,172.9,179.55,56.573856980599814
8,179.55,186.2,123.90527517226641
9,186.2,192.85,148.25527784736738
10,192.85,199.5,135.29007226848267
11,199.5,206.15,127.26604817742165
12,206.15,212.8,152.51904084678907
13,212.8,219.45,228.47701910738093
14,219.45,226.10000000000002,226.16204250667667
15,226.10000000000002,232.75,128.18474240210585
16,232.75,239.4,340.0002878680711
17,239.4,246.05,137.0474829167888
18,246.05,252.7,126.95391474707029
19,252.7,259.35,248.23467924723226
20,259.35,266.0,145.57493987684677
