Intervalo,x_min,x_max,Num_Puntos,Grado,Formula,Longitud
1,194.0,569.4,10,3,f(x) = 2586.2413x^3 + -0.1265x^2 + 0.0006x + -0.0000,383.19587046802894
5,1695.6,2071.0,10,3,f(x) = -3718987.9893x^3 + 5394.7524x^2 + -2.6067x + 0.0004,21989.967495453177
